"","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction1","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction2","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction3","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction4","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction5","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction6","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction7","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction8","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction9","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction10"
"Q13126",0,0,0,0,0,0,2,0,0,0
"Q9Y6C9",0,1,0,5,0,0,0,0,0,3
"P43121",0,0,0,3,0,0,0,0,0,1
"P35579",26,8,1,22,3,0,0,0,0,0
"P60660",0,3,0,2,0,0,0,0,0,0
"O00159",6,0,0,0,0,0,0,0,0,0
"Q9NZM1",0,0,0,11,4,0,0,0,0,0
"O14974",0,0,0,0,0,0,0,0,0,3
"Q4G0N4",0,0,0,0,0,0,15,0,0,0
"O43678",0,0,0,0,0,0,0,0,0,16
"O95182",0,0,0,0,0,0,0,0,0,2
"O75380",0,0,0,0,0,0,0,16,9,0
"P49821",0,0,0,0,0,0,25,0,0,0
"Q9UMX5",0,0,0,6,0,0,0,0,0,0
"O14745",0,0,0,0,14,16,0,0,0,0
"Q15599",0,0,0,0,0,0,0,2,0,0
"Q92542",6,0,0,0,0,0,0,0,0,0
"Q9GZT8",0,0,0,0,4,1,0,0,0,0
"Q6KC79",0,0,0,0,0,0,0,2,0,1
"P22307",0,0,0,0,0,0,0,0,0,23
"Q13423",0,2,0,7,0,0,0,0,0,17
"O00567",4,0,0,0,0,0,0,0,0,0
"Q9Y2X3",12,0,0,0,0,0,0,0,0,0
"Q04721",0,0,0,0,0,2,4,0,0,0
"P06748",15,0,0,0,0,0,0,0,0,0
"Q9Y639",0,0,0,0,3,6,8,4,0,1
"Q15818",0,0,0,0,0,0,3,0,0,0
"P15559",0,1,0,0,0,0,0,1,0,2
"P49790",0,0,0,0,0,0,0,0,2,1
"P35658",0,0,0,0,0,0,0,0,0,9
"P19338",0,14,0,26,8,0,0,0,0,12
"A8MXV4",0,0,0,0,0,0,0,2,0,0
"Q9UKX7",0,0,0,0,0,0,6,2,0,0
"Q9BXS6",0,0,0,0,0,0,2,2,2,2
"Q9UBU9",2,0,0,0,0,0,0,0,0,0
"P04181",0,0,0,0,0,64,7,1,0,0
"P11177",0,5,0,8,3,0,0,0,0,0
"Q9H488",0,0,0,0,0,0,0,0,6,8
"Q9NTK5",0,0,0,0,0,0,0,0,0,2
"P54886",0,0,0,3,0,0,0,0,0,0
"Q8WXI9",3,0,0,0,0,0,0,5,4,8
"Q9UQ80",0,0,0,0,0,0,3,0,0,0
"Q8NC51",2,0,0,0,0,6,8,8,5,14
"Q8WX93",5,0,0,0,0,13,12,0,0,0
"Q99497",0,0,0,0,0,3,17,13,0,0
"P09874",24,0,0,0,0,0,0,0,9,7
"Q96IZ0",0,0,0,0,0,0,0,0,1,2
"Q15365",6,0,0,0,0,0,8,17,0,1
"P12004",2,0,0,0,0,0,0,0,0,0
"Q9UHG3",0,0,0,0,0,8,7,0,0,0
"O14737",0,0,0,0,0,3,0,0,0,0
"P07237",0,15,0,44,4,0,0,1,2,0
"P30101",0,0,0,39,26,0,0,0,0,16
"P13667",0,0,0,3,0,0,0,0,0,0
"Q9BY77",0,0,0,0,0,0,0,0,2,4
"Q96HC4",0,0,0,0,0,0,0,0,4,14
"Q9NR12",0,0,0,0,0,0,0,0,0,9
"Q29RF7",4,0,0,0,0,3,0,0,0,1
"P30086",0,0,0,0,0,0,0,2,3,10
"Q9H7Z7",0,1,0,0,0,0,0,0,0,2
"P00558",0,0,0,0,0,0,0,0,36,35
"O00264",0,2,0,7,0,0,0,0,0,5
"P35232",6,15,0,24,8,0,0,0,0,9
"Q99623",0,0,0,12,0,0,0,0,0,0
"Q7RTV0",1,0,0,0,0,0,0,0,1,2
"Q13526",0,0,0,0,0,0,0,0,0,3
"P14923",0,0,0,7,0,0,0,0,0,0
"Q8NHP8",0,0,0,0,1,3,0,0,0,0
"Q15149",162,0,0,0,0,0,0,6,0,0
"O60664",0,0,0,0,0,2,0,0,0,0
"Q04941",0,10,0,4,0,3,6,13,17,8
"O15031",0,0,0,0,5,0,0,0,0,0
"Q9Y3B4",4,0,0,0,1,0,0,0,0,0
"P62136",8,0,0,0,0,0,3,1,0,0
"P11117",0,0,0,0,8,9,10,0,0,0
"P23284",19,0,0,6,0,0,0,0,8,63
"P30405",0,0,0,0,0,0,0,0,4,29
"O60828",0,0,0,0,0,0,0,0,0,2
"O75400",4,0,0,0,0,0,0,0,0,0
"Q5JSZ5",0,0,0,0,0,0,0,0,0,1
"Q969G5",0,0,0,7,0,0,0,0,0,0
"Q06830",0,0,0,0,0,0,0,24,27,33
"P32119",0,0,0,0,0,2,5,6,0,0
"P30048",0,0,0,0,0,81,45,15,0,0
"Q13162",0,0,0,0,0,14,0,0,0,0
"P30044",0,0,0,0,0,0,30,62,56,47
"P30041",0,0,0,0,0,4,11,0,0,0
"P78527",69,0,0,5,0,0,0,0,0,0
